,movie_name,year,time_in_min,genres,rating,votes,grosses
241,The Town,2010,125 min,"
Crime, Drama, Thriller            ",7.5,"334,997",$92.19M
242,Dial M for Murder,1954,105 min,"
Crime, Thriller            ",8.2,"147,757",$0.01M
243,Dead Poets Society,1989,128 min,"
Comedy, Drama            ",8.1,"395,568",$95.86M
244,Young Frankenstein,1974,106 min,"
Comedy            ",8.0,"137,624",$86.30M
245,Salinui chueok,2003,131 min,"
Action, Crime, Drama            ",8.1,"117,738",$0.01M
246,Moneyball,2011,133 min,"
Biography, Drama, Sport            ",7.6,"342,937",$75.61M
247,Hell or High Water,2016,102 min,"
Action, Crime, Drama            ",7.6,"190,116",$26.86M
248,The Hobbit: The Desolation of Smaug,2013,161 min,"
Adventure, Fantasy            ",7.8,"581,994",$258.37M
249,The Incredibles,2004,115 min,"
Animation, Action, Adventure            ",8.0,"629,916",$261.44M
250,La vie d'Adèle,2013,180 min,"
Drama, Romance            ",7.7,"130,940",$2.20M
251,V for Vendetta,2005,132 min,"
Action, Drama, Sci-Fi            ",8.2,"986,858",$70.51M
252,The Truman Show,1998,103 min,"
Comedy, Drama, Sci-Fi            ",8.1,"881,097",$125.62M
253,Gran Torino,2008,116 min,"
Drama            ",8.1,"693,404",$148.10M
254,"Monsters, Inc.",2001,92 min,"
Animation, Adventure, Comedy            ",8.0,"776,733",$289.92M
255,Mulholland Dr.,2001,147 min,"
Drama, Mystery, Thriller            ",8.0,"303,029",$7.22M
256,Aladdin,1992,90 min,"
Animation, Adventure, Comedy            ",8.0,"350,708",$217.35M
257,The Wizard of Oz,1939,102 min,"
Adventure, Family, Fantasy            ",8.0,"361,574",$2.08M
258,Airplane!,1980,88 min,"
Comedy            ",7.7,"199,638",$83.40M
259,Up,2009,96 min,"
Animation, Adventure, Comedy            ",8.2,"888,860",$293.00M
260,Serpico,1973,130 min,"
Biography, Crime, Drama            ",7.7,"102,480",$29.80M
261,Atonement,2007,123 min,"
Drama, Mystery, Romance            ",7.8,"237,325",$50.93M
262,Rush,2013,123 min,"
Biography, Drama, Sport            ",8.1,"411,583",$26.95M
263,Lo imposible,2012,114 min,"
Drama, History, Thriller            ",7.6,"187,273",$19.02M
264,L.A. Confidential,1997,138 min,"
Crime, Drama, Mystery            ",8.2,"510,905",$64.62M
265,127 Hours,2010,94 min,"
Biography, Drama            ",7.6,"335,411",$18.34M
266,The Perks of Being a Wallflower,2012,103 min,"
Drama, Romance            ",8.0,"437,421",$17.74M
267,Office Space,1999,89 min,"
Comedy            ",7.7,"233,808",$10.82M
268,Finding Nemo,2003,100 min,"
Animation, Adventure, Comedy            ",8.1,"907,592",$380.84M
269,Roma,2018,135 min,"
Drama            ",7.7,"126,283",-
270,Argo,2012,120 min,"
Biography, Drama, Thriller            ",7.7,"553,117",$136.03M
271,Amélie,2001,122 min,"
Comedy, Romance            ",8.3,"676,516",$33.23M
272,X: First Class,2011,131 min,"
Action, Adventure, Sci-Fi            ",7.7,"627,887",$146.41M
273,Scent of a Woman,1992,156 min,"
Drama            ",8.0,"244,490",$63.90M
274,The Exorcist,1973,122 min,"
Horror            ",8.0,"347,515",$232.91M
275,Die Hard,1988,132 min,"
Action, Thriller            ",8.2,"752,555",$83.01M
276,WALL·E,2008,98 min,"
Animation, Adventure, Family            ",8.4,"951,246",$223.81M
277,Magnolia,1999,188 min,"
Drama            ",8.0,"279,000",$22.46M
278,Indiana Jones and the Temple of Doom,1984,118 min,"
Action, Adventure            ",7.6,"425,772",$179.87M
279,The Curious Case of Benjamin Button,2008,166 min,"
Drama, Fantasy, Romance            ",7.8,"560,996",$127.51M
280,Rocky,1976,120 min,"
Drama, Sport            ",8.1,"494,089",$117.24M
281,The Thing,1982,109 min,"
Horror, Mystery, Sci-Fi            ",8.1,"349,789",$13.78M
282,The Great Escape,1963,172 min,"
Adventure, Drama, History            ",8.2,"213,803",$12.10M
283,Rear Window,1954,112 min,"
Mystery, Thriller            ",8.4,"419,711",$36.76M
284,The Pursuit of Happyness,2006,117 min,"
Biography, Drama            ",8.0,"423,994",$163.57M
285,Kill Bill: Vol. 2,2004,137 min,"
Action, Crime, Thriller            ",8.0,"651,282",$66.21M
286,Crash,2004,112 min,"
Crime, Drama, Thriller            ",7.8,"409,479",$54.58M
287,Casablanca,1942,102 min,"
Drama, Romance, War            ",8.5,"497,211",$1.02M
288,Gone with the Wind,1939,238 min,"
Drama, History, Romance            ",8.1,"275,200",$198.68M
289,Trainspotting,1996,93 min,"
Drama            ",8.1,"611,384",$16.50M
290,Der Untergang,2004,156 min,"
Biography, Drama, History            ",8.2,"317,369",$5.51M
291,Ghostbusters,1984,105 min,"
Action, Comedy, Fantasy            ",7.8,"339,610",$238.63M
292,As Good as It Gets,1997,139 min,"
Comedy, Drama, Romance            ",7.7,"263,865",$148.48M
293,Minority Report,2002,145 min,"
Action, Crime, Mystery            ",7.6,"486,551",$132.07M
294,Casino,1995,178 min,"
Crime, Drama            ",8.2,"438,005",$42.44M
295,Brokeback Mountain,2005,134 min,"
Drama, Romance            ",7.7,"310,467",$83.04M
296,Apocalypto,2006,139 min,"
Action, Adventure, Drama            ",7.8,"278,769",$50.87M
297,Tombstone,1993,130 min,"
Action, Biography, Drama            ",7.8,"119,778",$56.51M
298,Toy Story 3,2010,103 min,"
Animation, Adventure, Comedy            ",8.3,"722,766",$415.00M
299,Remember the Titans,2000,113 min,"
Biography, Drama, Sport            ",7.8,"190,116",$115.65M
300,Blow,2001,124 min,"
Biography, Crime, Drama            ",7.6,"231,757",$52.99M
301,Manchester by the Sea,2016,137 min,"
Drama            ",7.8,"229,719",$47.70M
302,Sense and Sensibility,1995,136 min,"
Drama, Romance            ",7.6,"96,777",$43.18M
303,Sherlock Holmes,2009,128 min,"
Action, Adventure, Crime            ",7.6,"564,456",$209.03M
304,The Machinist,2004,101 min,"
Drama, Thriller            ",7.7,"342,607",$1.08M
305,Home Alone,1990,103 min,"
Comedy, Family            ",7.6,"442,332",$285.76M
306,Incendies,2010,131 min,"
Drama, Mystery, War            ",8.3,"134,357",$6.86M
307,Moon,2009,97 min,"
Drama, Mystery, Sci-Fi            ",7.9,"322,760",$5.01M
308,True Grit,2010,110 min,"
Drama, Western            ",7.6,"296,130",$171.24M
309,The Butterfly Effect,2004,113 min,"
Drama, Sci-Fi, Thriller            ",7.6,"435,735",$57.94M
310,Hauru no ugoku shiro,2004,119 min,"
Animation, Adventure, Family            ",8.2,"299,569",$4.71M
311,The King's Speech,2010,118 min,"
Biography, Drama, History            ",8.0,"615,849",$138.80M
312,Boyz n the Hood,1991,112 min,"
Crime, Drama            ",7.7,"117,837",$57.50M
313,Predator,1987,107 min,"
Action, Adventure, Sci-Fi            ",7.8,"357,548",$59.74M
314,Dallas Buyers Club,2013,117 min,"
Biography, Drama            ",8.0,"419,507",$27.30M
315,Shrek,2001,90 min,"
Animation, Adventure, Comedy            ",7.8,"587,747",$267.67M
316,Det sjunde inseglet,1957,96 min,"
Drama, Fantasy            ",8.2,"152,526",-
317,3 Idiots,2009,170 min,"
Comedy, Drama            ",8.4,"319,140",$6.53M
318,Midnight in Paris,2011,96 min,"
Comedy, Fantasy, Romance            ",7.7,"369,588",$56.82M
319,Blood Diamond,2006,143 min,"
Adventure, Drama, Thriller            ",8.0,"478,951",$57.37M
320,Tonari no Totoro,1988,86 min,"
Animation, Family, Fantasy            ",8.2,"261,884",$1.11M
321,Slumdog Millionaire,2008,120 min,"
Drama, Romance            ",8.0,"771,164",$141.32M
322,The Little Mermaid,1989,83 min,"
Animation, Family, Fantasy            ",7.6,"225,586",$111.54M
323,Straight Outta Compton,2015,147 min,"
Biography, Drama, History            ",7.9,"171,979",$161.20M
324,Big Hero 6,2014,102 min,"
Animation, Action, Adventure            ",7.8,"391,083",$222.53M
325,The Bourne Identity,2002,119 min,"
Action, Mystery, Thriller            ",7.9,"489,602",$121.66M
326,Amadeus,1984,160 min,"
Biography, Drama, History            ",8.3,"352,347",$51.97M
327,Little Miss Sunshine,2006,101 min,"
Comedy, Drama            ",7.8,"423,153",$59.89M
328,The Deer Hunter,1978,183 min,"
Drama, War            ",8.1,"296,602",$48.98M
329,Klaus,2019,96 min,"
Animation, Adventure, Comedy            ",8.2,"62,802",-
330,The Theory of Everything,2014,123 min,"
Biography, Drama, Romance            ",7.7,"379,405",$35.89M
331,Match Point,2005,124 min,"
Drama, Romance, Thriller            ",7.6,"198,357",$23.09M
332,Moonrise Kingdom,2012,94 min,"
Comedy, Drama, Romance            ",7.8,"303,788",$45.51M
333,Saw,2004,103 min,"
Horror, Mystery, Thriller            ",7.6,"364,971",$56.00M
334,Monty Python and the Holy Grail,1975,91 min,"
Adventure, Comedy, Fantasy            ",8.2,"481,027",$1.23M
335,Isle of Dogs,2018,101 min,"
Animation, Adventure, Comedy            ",7.9,"125,060",$32.02M
336,What's Eating Gilbert Grape,1993,118 min,"
Drama            ",7.8,"205,070",$9.17M
337,X-Men: Days of Future Past,2014,132 min,"
Action, Adventure, Sci-Fi            ",8.0,"640,688",$233.92M
338,The Blind Side,2009,129 min,"
Biography, Drama, Sport            ",7.6,"278,505",$255.96M
339,Rosemary's Baby,1968,137 min,"
Drama, Horror            ",8.0,"181,165",-
340,Before Sunrise,1995,101 min,"
Drama, Romance            ",8.1,"251,938",$5.54M
341,The Fault in Our Stars,2014,126 min,"
Drama, Romance            ",7.7,"328,540",$124.87M
342,El secreto de sus ojos,2009,129 min,"
Drama, Mystery, Romance            ",8.2,"181,455",$6.39M
343,Almost Famous,2000,122 min,"
Adventure, Comedy, Drama            ",7.9,"242,183",$32.53M
344,Million Dollar Baby,2004,132 min,"
Drama, Sport            ",8.1,"608,698",$100.49M
345,Raging Bull,1980,129 min,"
Biography, Drama, Sport            ",8.2,"304,839",$23.38M
346,Training Day,2001,122 min,"
Crime, Drama, Thriller            ",7.7,"370,789",$76.63M
347,Wind River,2017,107 min,"
Crime, Drama, Mystery            ",7.7,"186,261",$33.80M
348,Dangal,2016,161 min,"
Action, Biography, Drama            ",8.4,"137,801",$12.39M
349,Gravity,2013,91 min,"
Drama, Sci-Fi, Thriller            ",7.7,"739,787",$274.09M
350,Vertigo,1958,128 min,"
Mystery, Romance, Thriller            ",8.3,"339,466",$3.20M
351,The Last of the Mohicans,1992,112 min,"
Action, Adventure, Drama            ",7.7,"141,880",$75.51M
352,Stalker,1979,162 min,"
Drama, Sci-Fi            ",8.2,"105,989",$0.23M
353,Mad Max 2,1981,96 min,"
Action, Adventure, Sci-Fi            ",7.6,"159,982",$12.47M
354,Donnie Brasco,1997,127 min,"
Biography, Crime, Drama            ",7.7,"264,218",$41.91M
355,Idi i smotri,1985,142 min,"
Drama, War            ",8.3,"48,848",-
356,The Magnificent Seven,1960,128 min,"
Action, Adventure, Western            ",7.7,"83,952",$4.91M
357,Seven Pounds,2008,123 min,"
Drama            ",7.6,"277,379",$69.95M
358,The Lego Movie,2014,100 min,"
Animation, Action, Adventure            ",7.8,"314,463",$257.76M
359,Wreck-It Ralph,2012,101 min,"
Animation, Adventure, Comedy            ",7.7,"363,016",$189.42M
360,Chinatown,1974,130 min,"
Drama, Mystery, Thriller            ",8.2,"278,369",$29.20M
361,Beauty and the Beast,1991,84 min,"
Animation, Family, Fantasy            ",8.0,"403,875",$218.97M
362,Kick-Ass,2010,117 min,"
Action, Adventure, Comedy            ",7.6,"511,216",$48.07M
363,The Florida Project,2017,111 min,"
Drama            ",7.6,"82,001",$5.90M
364,Relatos salvajes,2014,122 min,"
Comedy, Drama, Thriller            ",8.1,"162,294",$3.11M
365,Breakfast at Tiffany's,1961,115 min,"
Comedy, Drama, Romance            ",7.7,"157,971",-
366,Taken,2008,90 min,"
Action, Thriller            ",7.8,"550,617",$145.00M
367,Apollo 13,1995,140 min,"
Adventure, Drama, History            ",7.6,"255,735",$173.84M
368,The Game,1997,129 min,"
Action, Drama, Mystery            ",7.8,"328,057",$48.32M
369,Hunt for the Wilderpeople,2016,101 min,"
Adventure, Comedy, Drama            ",7.9,"97,744",$5.20M
370,Searching,2018,102 min,"
Drama, Mystery, Thriller            ",7.6,"121,279",$26.02M
371,Inside Man,2006,129 min,"
Crime, Drama, Mystery            ",7.6,"323,685",$88.51M
372,The Blues Brothers,1980,133 min,"
Adventure, Comedy, Crime            ",7.9,"173,925",$57.23M
373,The Fighter,2010,116 min,"
Biography, Drama, Sport            ",7.8,"327,282",$93.62M
374,Y tu mamá también,2001,106 min,"
Drama            ",7.6,"110,787",$13.62M
375,Edward Scissorhands,1990,105 min,"
Drama, Fantasy, Romance            ",7.9,"429,185",$56.36M
376,First Blood,1982,93 min,"
Action, Adventure            ",7.7,"215,914",$47.21M
377,Lawrence of Arabia,1962,228 min,"
Adventure, Biography, Drama            ",8.3,"254,119",$44.82M
378,Dances with Wolves,1990,181 min,"
Adventure, Drama, Western            ",8.0,"229,753",$184.21M
379,Hotaru no haka,1988,89 min,"
Animation, Drama, War            ",8.5,"214,089",-
380,El cuerpo,2012,108 min,"
Mystery, Thriller            ",7.6,"50,217",-
381,Citizen Kane,1941,119 min,"
Drama, Mystery            ",8.3,"379,141",$1.59M
382,Who Framed Roger Rabbit,1988,104 min,"
Animation, Adventure, Comedy            ",7.7,"174,698",$156.45M
383,Lethal Weapon,1987,109 min,"
Action, Crime, Thriller            ",7.6,"227,364",$65.21M
384,It's a Wonderful Life,1946,130 min,"
Drama, Family, Fantasy            ",8.6,"378,584",-
385,Road to Perdition,2002,117 min,"
Crime, Drama, Thriller            ",7.7,"235,756",$104.45M
386,Toy Story 2,1999,92 min,"
Animation, Adventure, Comedy            ",7.9,"502,393",$245.85M
387,Blue Velvet,1986,120 min,"
Drama, Mystery, Thriller            ",7.8,"170,715",$8.55M
388,Interview with the Vampire: The Vampire Chronicles,1994,123 min,"
Drama, Horror            ",7.6,"283,907",$105.26M
389,Lolita,1962,153 min,"
Crime, Drama, Romance            ",7.6,"87,662",$9.25M
390,The Graduate,1967,106 min,"
Comedy, Drama, Romance            ",8.0,"245,295",$104.95M
391,Misery,1990,107 min,"
Drama, Thriller            ",7.8,"173,490",$61.28M
392,Close Encounters of the Third Kind,1977,138 min,"
Drama, Sci-Fi            ",7.6,"175,060",$132.09M
393,Andhadhun,2018,139 min,"
Crime, Thriller            ",8.3,"57,575",$1.37M
394,The Conversation,1974,113 min,"
Drama, Mystery, Thriller            ",7.8,"91,493",$4.42M
395,Man on Fire,2004,146 min,"
Action, Crime, Drama            ",7.7,"317,745",$77.91M
396,Black Hawk Down,2001,144 min,"
Drama, History, War            ",7.7,"351,426",$108.64M
397,District 9,2009,112 min,"
Action, Sci-Fi, Thriller            ",7.9,"620,999",$115.65M
398,Mr. Nobody,2009,141 min,"
Drama, Fantasy, Romance            ",7.8,"206,130",$0.00M
399,End of Watch,2012,109 min,"
Action, Crime, Drama            ",7.6,"219,676",$41.00M
400,The Fugitive,1993,130 min,"
Action, Crime, Drama            ",7.8,"255,146",$183.88M
401,The Hurt Locker,2008,131 min,"
Drama, Thriller, War            ",7.6,"406,220",$17.02M
402,(500) Days of Summer,2009,95 min,"
Comedy, Drama, Romance            ",7.7,"455,377",$32.39M
403,The Naked Gun: From the Files of Police Squad!,1988,85 min,"
Comedy, Crime            ",7.6,"143,158",$78.76M
404,The Untouchables,1987,119 min,"
Crime, Drama, Thriller            ",7.9,"266,130",$76.27M
405,Life of Pi,2012,127 min,"
Adventure, Drama, Fantasy            ",7.9,"557,250",$124.99M
406,The Boy in the Striped Pyjamas,2008,94 min,"
Drama, War            ",7.8,"180,282",$9.03M
407,Back to the Future Part II,1989,108 min,"
Adventure, Comedy, Sci-Fi            ",7.8,"451,074",$118.50M
408,Gifted,2017,101 min,"
Drama            ",7.6,"90,356",$24.80M
409,The Lady Vanishes,1938,96 min,"
Film-Noir, Mystery, Thriller            ",7.8,"44,678",-
410,American Gangster,2007,157 min,"
Biography, Crime, Drama            ",7.8,"377,778",$130.16M
411,Malcolm X,1992,202 min,"
Biography, Drama, History            ",7.7,"79,148",$48.17M
412,The Others,2001,101 min,"
Horror, Mystery, Thriller            ",7.6,"324,056",$96.52M
413,Rain Man,1988,133 min,"
Drama            ",8.0,"456,162",$178.80M
414,Primal Fear,1996,129 min,"
Crime, Drama, Mystery            ",7.7,"173,472",$56.12M
415,The Count of Monte Cristo,2002,131 min,"
Action, Adventure, Drama            ",7.8,"124,270",$54.23M
416,Goldfinger,1964,110 min,"
Action, Adventure, Thriller            ",7.7,"164,751",$51.08M
417,In Bruges,2008,107 min,"
Comedy, Crime, Drama            ",7.9,"376,151",$7.76M
418,How to Train Your Dragon,2010,98 min,"
Animation, Action, Adventure            ",8.1,"637,176",$217.58M
419,Star Trek Into Darkness,2013,132 min,"
Action, Adventure, Sci-Fi            ",7.7,"453,861",$228.78M
420,Captain Phillips,2013,134 min,"
Biography, Crime, Drama            ",7.8,"402,610",$107.10M
421,Gone Baby Gone,2007,114 min,"
Crime, Drama, Mystery            ",7.6,"241,171",$20.30M
422,The Sandlot,1993,101 min,"
Comedy, Drama, Family            ",7.8,"74,845",$32.42M
423,Willy Wonka & the Chocolate Factory,1971,100 min,"
Family, Fantasy, Musical            ",7.8,"169,086",$4.00M
424,The Bourne Supremacy,2004,108 min,"
Action, Mystery, Thriller            ",7.7,"419,478",$176.24M
425,Sleepers,1996,147 min,"
Crime, Drama, Thriller            ",7.6,"180,564",$49.10M
426,Kaze no tani no Naushika,1984,117 min,"
Animation, Adventure, Fantasy            ",8.1,"137,113",$0.50M
427,The Royal Tenenbaums,2001,110 min,"
Comedy, Drama            ",7.6,"255,099",$52.36M
428,Serenity,2005,119 min,"
Action, Adventure, Sci-Fi            ",7.8,"276,497",$25.51M
429,Fried Green Tomatoes,1991,130 min,"
Drama            ",7.7,"63,779",$82.42M
430,Deliverance,1972,109 min,"
Adventure, Drama, Thriller            ",7.7,"94,455",-
431,The Hunt for Red October,1990,135 min,"
Action, Adventure, Thriller            ",7.6,"170,667",$122.01M
432,Escape from Alcatraz,1979,112 min,"
Biography, Crime, Drama            ",7.6,"110,564",$43.00M
433,Nuovo Cinema Paradiso,1988,155 min,"
Drama            ",8.5,"214,155",$11.99M
434,"O Brother, Where Art Thou?",2000,107 min,"
Adventure, Comedy, Crime            ",7.7,"273,345",$45.51M
435,The Crow,1994,102 min,"
Action, Drama, Fantasy            ",7.6,"160,535",$50.69M
436,The Killing,1956,84 min,"
Crime, Drama, Film-Noir            ",8.0,"77,215",-
437,La piel que habito,2011,120 min,"
Drama, Horror, Thriller            ",7.6,"130,418",$3.19M
438,Das Boot,1981,149 min,"
Adventure, Drama, Thriller            ",8.3,"220,370",$11.49M
439,Akira,1988,124 min,"
Animation, Drama, Sci-Fi            ",8.0,"152,853",$0.55M
440,The Reader,2008,124 min,"
Drama, Romance            ",7.6,"223,700",$34.19M
441,Philadelphia,1993,125 min,"
Drama            ",7.7,"214,262",$77.32M
442,The Jungle Book,1967,78 min,"
Animation, Adventure, Family            ",7.6,"158,363",$141.84M
443,Rio Bravo,1959,141 min,"
Action, Drama, Western            ",8.0,"53,180",$12.54M
444,My Cousin Vinny,1992,120 min,"
Comedy, Crime            ",7.6,"100,957",$52.93M
445,The Bourne Ultimatum,2007,115 min,"
Action, Mystery, Thriller            ",8.0,"590,540",$227.47M
446,Singin' in the Rain,1952,103 min,"
Comedy, Musical, Romance            ",8.3,"207,027",$8.82M
447,When Harry Met Sally...,1989,95 min,"
Comedy, Drama, Romance            ",7.6,"185,419",$92.82M
448,Billy Elliot,2000,110 min,"
Drama, Music            ",7.7,"120,815",$22.00M
449,Jodaeiye Nader az Simin,2011,123 min,"
Drama            ",8.3,"207,892",$7.10M
450,Ang-ma-reul bo-at-da,2010,144 min,"
Action, Crime, Drama            ",7.8,"101,008",$0.13M
451,To Kill a Mockingbird,1962,129 min,"
Crime, Drama            ",8.2,"282,833",-
452,Dog Day Afternoon,1975,125 min,"
Biography, Crime, Drama            ",8.0,"225,673",$50.00M
453,Manbiki kazoku,2018,121 min,"
Crime, Drama            ",8.0,"48,776",$3.31M
454,Blazing Saddles,1974,93 min,"
Comedy, Western            ",7.7,"120,279",$119.50M
455,Bridge of Spies,2015,142 min,"
Drama, History, Thriller            ",7.6,"274,246",$72.31M
456,Traffic,2000,147 min,"
Crime, Drama, Thriller            ",7.6,"190,270",$124.12M
457,The Thin Red Line,1998,170 min,"
Drama, War            ",7.6,"165,759",$36.40M
458,The Invisible Man,1933,71 min,"
Comedy, Horror, Sci-Fi            ",7.7,"28,212",-
459,Butch Cassidy and the Sundance Kid,1969,110 min,"
Biography, Crime, Drama            ",8.0,"195,062",$102.31M
460,Boyhood,2014,165 min,"
Drama            ",7.9,"325,046",$25.38M
461,Brazil,1985,132 min,"
Drama, Sci-Fi            ",7.9,"180,740",$9.93M
462,Barry Lyndon,1975,185 min,"
Adventure, Drama, History            ",8.1,"139,977",-
463,Spartacus,1960,197 min,"
Adventure, Biography, Drama            ",7.9,"118,637",$30.00M
464,Per qualche dollaro in più,1965,132 min,"
Western            ",8.3,"218,674",$15.00M
465,Lost Highway,1997,134 min,"
Mystery, Thriller            ",7.6,"123,912",$3.80M
466,The Warriors,1979,92 min,"
Action, Crime, Thriller            ",7.6,"89,222",$22.49M
467,Network,1976,121 min,"
Drama            ",8.1,"137,747",-
468,Robin Hood,1973,83 min,"
Animation, Adventure, Comedy            ",7.6,"109,498",$32.06M
469,Die Hard: With a Vengeance,1995,128 min,"
Action, Adventure, Thriller            ",7.6,"351,341",$100.01M
470,Dirty Harry,1971,102 min,"
Action, Crime, Thriller            ",7.7,"137,187",$35.90M
471,North by Northwest,1959,136 min,"
Adventure, Mystery, Thriller            ",8.3,"283,986",$13.28M
472,Wo hu cang long,2000,120 min,"
Action, Adventure, Fantasy            ",7.8,"245,986",$128.08M
473,Fantastic Mr. Fox,2009,87 min,"
Animation, Adventure, Comedy            ",7.9,"186,201",$21.00M
474,Batoru rowaiaru,2000,114 min,"
Adventure, Drama, Sci-Fi            ",7.6,"163,467",-
475,Män som hatar kvinnor,2009,152 min,"
Crime, Drama, Mystery            ",7.8,"203,110",$10.10M
476,Sunset Blvd.,1950,110 min,"
Drama, Film-Noir            ",8.4,"189,165",-
477,Halloween,1978,91 min,"
Horror, Thriller            ",7.8,"217,370",$47.00M
478,Sling Blade,1996,135 min,"
Drama            ",8.0,"84,343",$24.48M
479,Enemy at the Gates,2001,131 min,"
Drama, History, War            ",7.6,"233,104",$51.40M
480,Life of Brian,1979,94 min,"
Comedy            ",8.1,"350,311",$20.05M
481,Fear and Loathing in Las Vegas,1998,118 min,"
Adventure, Comedy, Drama            ",7.6,"249,960",$10.68M
482,The Ten Commandments,1956,220 min,"
Adventure, Drama            ",7.8,"59,630",$93.74M
483,La migliore offerta,2013,131 min,"
Crime, Drama, Mystery            ",7.8,"101,417",$0.09M
484,3:10 to Yuma,2007,122 min,"
Action, Crime, Drama            ",7.7,"278,283",$53.61M
485,Tenkû no shiro Rapyuta,1986,125 min,"
Animation, Adventure, Drama            ",8.0,"138,626",-
486,Annie Hall,1977,93 min,"
Comedy, Romance            ",8.0,"243,555",$39.20M
487,Creed,2015,133 min,"
Drama, Sport            ",7.6,"236,297",$109.77M
